?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Stuart_Chandler>	<isMarriedTo>	<Marian_Colby_Chandler>	ManualEvaluation	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Jane_Griffin_(Lady_Franklin)>	<isMarriedTo>	<John_Franklin>	ManualEvaluation	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Arsinoe_II_of_Egypt>	<isMarriedTo>	<Lysimachus>	ManualEvaluation	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Adrienne_Ryan>	<isMarriedTo>	<Peter_Ryan_(police_commissioner)>	ManualEvaluation	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Mike_Baldwin_(Coronation_Street)>	<isMarriedTo>	<Susan_Barlow>	ManualEvaluation	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Hilda_Koronel>	<isMarriedTo>	<J.I>	ManualEvaluation	Unknown
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Orlando_Bridgeman_(aviator)>	<isPoliticianOf>	<United_Kingdom>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Julien_Offray_de_La_Mettrie>	<isPoliticianOf>	<Germany>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<John_of_Islay,_Earl_of_Ross>	<isPoliticianOf>	<Scotland>	ManualEvaluation	True
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Domenico_Meccoli>	<isPoliticianOf>	<Ciampino>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Carl_David_af_WirsÃÂ©n>	<isPoliticianOf>	<Sweden>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Alfred_Weber>	<isPoliticianOf>	<Baden-WÃÂ¼rttemberg>	ManualEvaluation	True
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Francis_Atterbury>	<isPoliticianOf>	<geoent_RÃÂ©gion_ÃÂle-de-France_3012874>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Henry_Tombs>	<isPoliticianOf>	<Wales>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Egbert_Picker>	<isPoliticianOf>	<Bavaria>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Vadim_Pirogan>	<isPoliticianOf>	<Moldova>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Henny_Porten>	<isPoliticianOf>	<Germany>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Dick_Giordano>	<isPoliticianOf>	<Volusia_County,_Florida>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Alfred_Emmott,_1st_Baron_Emmott>	<isPoliticianOf>	<United_Kingdom>	ManualEvaluation	True
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Kenneth_Kelly>	<isPoliticianOf>	<Polk_County,_Florida>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Johannes_FranÃÂ§ois_Snelleman>	<isPoliticianOf>	<Netherlands>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Sheldon_Friel>	<isPoliticianOf>	<Republic_of_Ireland>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Ernst_Gadermann>	<isPoliticianOf>	<Germany>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Harwood_Sturtevant>	<isPoliticianOf>	<Pinellas_County,_Florida>	ManualEvaluation	False
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<Peter_P._Dubrovsky>	<isPoliticianOf>	<Russia>	ManualEvaluation	True
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	<David_Kenyon_Webster>	<isPoliticianOf>	<Los_Angeles_County,_California>	ManualEvaluation	False
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<Slivna_River>	<hasOfficialLanguage>	<Romanian_language>	ManualEvaluation	True
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<DolnÃÂ­_ZimoY>	<hasOfficialLanguage>	<Czech_language>	ManualEvaluation	True
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<RanÃÂ­Yov>	<hasOfficialLanguage>	<Polish_language>	ManualEvaluation	Unknown
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<Moose_Ponds>	<hasOfficialLanguage>	<Inuvialuktun>	ManualEvaluation	True
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<Boesmans_River>	<hasOfficialLanguage>	<Afrikaans>	ManualEvaluation	True
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<Advanced_Card_Systems>	<hasOfficialLanguage>	<Standard_Mandarin>	ManualEvaluation	False
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<Tuya_Butte>	<hasOfficialLanguage>	<English_language>	ManualEvaluation	True
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<MÃÂ­Ykov>	<hasOfficialLanguage>	<German_language>	ManualEvaluation	Unknown
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<HornÃÂ­_Smr~ov>	<hasOfficialLanguage>	<German_language>	ManualEvaluation	Unknown
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<Batavia,_Illinois>	<hasOfficialLanguage>	<English_language>	ManualEvaluation	True
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<Executive_Airlines_(Spain)>	<hasOfficialLanguage>	<Asturian_language>	ManualEvaluation	False
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<ÃÂre_River>	<hasOfficialLanguage>	<Swedish_language>	ManualEvaluation	Unknown
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<Naetschen>	<hasOfficialLanguage>	<Italian_language>	ManualEvaluation	False
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<Gohan_River>	<hasOfficialLanguage>	<Romanian_language>	ManualEvaluation	True
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<ervenÃÂ¡_Hora>	<hasOfficialLanguage>	<German_language>	ManualEvaluation	False
?a  <isLocatedIn>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	<XÃÂ­pec>	<hasOfficialLanguage>	<Czech_language>	ManualEvaluation	Unknown
